Название товара,Цена товара,Опимание товара
"Обои Rasch виниловые 0,53х10,05м 449471",842.00 руб,"Длина рулона:    10,05 м
Тип обоев:    Виниловые на флизелине
Размер рулона:    0,53 м
Производитель:    Rasch
Страна производства:    Германия"
"Обои ERISMANN Waves 1.06х10,05м 9401-47",1 990.00 руб,"Цветовая гамма:  Коричневый
Ширина рулона: 1,06м
Длина рулона: 10,05м
Раппорт: 9 см, прямая стыковка
Материал: флизелиновые обои
Тип обоев: горячее тиснение
Тип рисунка: тематический
Стиль жилья: модерн
Мир жилья: гостиная, спальня, коридор
Страна производства: Германия
Упаковка: 6 рул. в коробке"
Обои Wall Up 1.06х10.05м 920123,1 840.00 руб,"Характеристики обоев
Коллекция:
WallDecor
Основа:
Бумажная
Тип:
Вспененный винил
Размер:
0,53 x 10,05
Раппорт:
0"
Обои A.S. Creation 1.06х10.05м 38048-2,2 030.00 руб,"Характеристики обоев
Коллекция:
АСПЕКТ
Основа:
Флизелиновая
Тип:
Горячее тиснение
Размер:
1,06 x 10,05
Раппорт:
16"
Обои A.S. Creation 1.06х10.05м 38048-1,2 030.00 руб,"Характеристики обоев
Коллекция:
АСПЕКТ
Основа:
Флизелиновая
Тип:
Горячее тиснение
Размер:
1,06 x 10,05
Раппорт:
16"
"Обои Аэрин 0,53х10,05м дуплекс Д550-04",250.00 руб,"Обои «дуплекс» С6 – обои, печатные офсетными красками на двухслойной склеенной бумаге с перламутровым покрытием и тиснением в рисунок. Обладают хорошей рельефностью, повышенной плотностью, превосходно скрывают неровности стен. Обои успешно конкурируют с виниловыми обоями по декоративным качествам, значительно «уступая» им по цене."
Обои P&P 1.06х10.05м 71645-65,1 710.00 руб,"Характеристики

Рулонов в коробке    6
Элементы рисунка    Абстракция и геометрия
Способ производства    Горячее тиснение
Размер    1,06м x 10,05м
Раппорт    64
Основа    Флизелиновая"
"Обои Бамбук 0,53х10,05м дуплекс Д679-04",225.00 руб,"Обои «дуплекс» С6 – обои, печатные офсетными красками на двухслойной склеенной бумаге с перламутровым покрытием и тиснением в рисунок. Обладают хорошей рельефностью, повышенной плотностью, превосходно скрывают неровности стен. Обои успешно конкурируют с виниловыми обоями по декоративным качествам, значительно «уступая» им по цене."
"Обои ERISMANN Profi Deco 1.06х10,05м 6168-4",1 455.00 руб,"Ширина рулона: 1,06м
Длина рулона: 10,05м
Раппорт: свободная стыковка
Материал: флизелиновые обои
Тип обоев: горячее тиснение
Тип рисунка: однотонный
Стиль жилья: фон
Мир жилья: гостиная, спальня, кухня, коридор
Страна производства: Россия
Упаковка: 6 рул. в коробке
Ширина рулона: 1,06м
Длина рулона: 10,05м
Раппорт: свободная стыковка
Материал: флизелиновые обои
Тип обоев: горячее тиснение
Тип рисунка: однотонный
Стиль жилья: фон
Мир жилья: гостиная, спальня, коридор
Страна производства: Россия
Упаковка: 6 рул. в коробке"
Обои VILIA 1.06х10.05м 1220-21,835.00 руб,"Характеристики

Рулонов в коробке    6
Элементы рисунка    Абстракция и геометрия
Способ производства    Горячее тиснение
Размер    1,06м x 10,05м
Раппорт    64
Основа    Флизелиновая"
Обои BelVinil 1.06х10.05м Магнолия 11-1011-21,1 280.00 руб,"Для укрепления пористых и сильно впитывающих минеральных поверхностей на глубину до 5 мм. Рекомендуется для предварительной обработки оснований перед  окраской, шпатлеванием, приклеиванием обоев.

обладает высокой проникающей поверхностью;

улучшает адгезию;

укрепляет осыпающиеся и мелящиеся старые штукатурку, краску, картон и др. пористые поверхности;

после высыхания образует ровную матовую полупрозрачную поверхность;

снижает расход краски;

последующее нанесение краски производится только после полного высыхания грунтовки.

Расход

80-120 г/м2

Подготовка поверхности

Поверхность должна быть сухой, очищенной от загрязнений и старых отслаивающихся покрытий.

Способ нанесения

Наносится кистью кистью, валиком или краскопультом в один слой.. Сильно впитывающие поверхности рекомендуется грунтовать 2 раза.

Время высыхания

До отлипа – 1 час, полное высыхание через 3 часа при нормальных условиях.

Сухой остаток

Не менее 9%.

Хранение

В плотно закрытой таре при температуре от 0°С до +40°С. Допускается замораживание до -15°С, но не более 5 циклов замораживания-оттаивания. Срок годности 12 месяцев с даты изготовления.

Не рекомендуется

Наносить при повышенной влажности и температуре ниже +7°С.

Плотность

1,0 г/см?

ТУ



Фасовка

5л 10л"
Обои BelVinil 1.06х10.05м Магнолия 10-1010-71,1 320.00 руб,"Для укрепления пористых и сильно впитывающих минеральных поверхностей на глубину до 5 мм. Рекомендуется для предварительной обработки оснований перед  окраской, шпатлеванием, приклеиванием обоев.

обладает высокой проникающей поверхностью;

улучшает адгезию;

укрепляет осыпающиеся и мелящиеся старые штукатурку, краску, картон и др. пористые поверхности;

после высыхания образует ровную матовую полупрозрачную поверхность;

снижает расход краски;

последующее нанесение краски производится только после полного высыхания грунтовки.

Расход

80-120 г/м2

Подготовка поверхности

Поверхность должна быть сухой, очищенной от загрязнений и старых отслаивающихся покрытий.

Способ нанесения

Наносится кистью кистью, валиком или краскопультом в один слой.. Сильно впитывающие поверхности рекомендуется грунтовать 2 раза.

Время высыхания

До отлипа – 1 час, полное высыхание через 3 часа при нормальных условиях.

Сухой остаток

Не менее 9%.

Хранение

В плотно закрытой таре при температуре от 0°С до +40°С. Допускается замораживание до -15°С, но не более 5 циклов замораживания-оттаивания. Срок годности 12 месяцев с даты изготовления.

Не рекомендуется

Наносить при повышенной влажности и температуре ниже +7°С.

Плотность

1,0 г/см?

ТУ



Фасовка

5л 10л"
Обои Anturage 1.06х10.05м 168407-06,1 515.00 руб,"Характеристики

Рулонов в коробке    6
Элементы рисунка    Абстракция и геометрия
Способ производства    Горячее тиснение
Размер    1,06м x 10,05м
Раппорт    64
Основа    Флизелиновая"
"Обои Elysium 1,06х10.05м 46711",1 235.00 руб,"Раппорт/смещение: 64/25
Горячее тиснение, 1,06 х 10м
E260XX, Е261ХХ, Е262ХХ ""Элли"". Артикул E26000"
Обои Anturage 1.06х10.05м 168430-16,1 360.00 руб,"Характеристики

Рулонов в коробке    6
Элементы рисунка    Абстракция и геометрия
Способ производства    Горячее тиснение
Размер    1,06м x 10,05м
Раппорт    64
Основа    Флизелиновая"
Обои Elysium 0.53х10.05м 32506,495.00 руб,"Характеристики

Рулонов в коробке    16
Элементы рисунка    Абстракция и геометрия
Способ производства    Вспененный винил
Размер    0,53м x 10,05м
Раппорт    32
Основа    Флизелиновая"
"Обои ERISMANN Profi Deco 1.06х10,05м 60174-02",1 680.00 руб,"Ширина рулона: 1,06м
Длина рулона: 10,05м
Раппорт: 4.9 см, прямая стыковка
Материал: флизелиновые обои
Тип обоев: горячее тиснение
Тип рисунка: орнамент
Стиль жилья: классика
Мир жилья: гостиная, спальня, коридор
Страна производства: Россия
Упаковка: 6 рул. в коробке"
Обои VILIA 1.06х10.05м 1424-21,970.00 руб,"Характеристики

Рулонов в коробке    6
Элементы рисунка    Абстракция и геометрия
Способ производства    Горячее тиснение
Размер    1,06м x 10,05м
Раппорт    64
Основа    Флизелиновая"
"Обои VILIA 1.06х0,53м 1347-71",435.00 руб,"Характеристики

Рулонов в коробке    6
Элементы рисунка    Абстракция и геометрия
Способ производства    Горячее тиснение
Размер    1,06м x 10,05м
Раппорт    64
Основа    Флизелиновая"
"Обои VICTORIA STENOVA 1.06х10,05м 989101",1 750.00 руб,"Виниловые обои на флизелиновой основе, 1,06*10,05 м"
Обои P&P 1.06х10.05м 71645-65,1 710.00 руб,"Характеристики

Рулонов в коробке    6
Элементы рисунка    Абстракция и геометрия
Способ производства    Горячее тиснение
Размер    1,06м x 10,05м
Раппорт    64
Основа    Флизелиновая"
"Обои Bravo 1.06х10,05м 168325-19",1 510.00 руб,"Ширина рулона: 1,06м
Длина рулона: 10,05м
Раппорт: 64 см, прямая стыковка
Материал: флизелиновые обои
Тип обоев: горячее тиснение
Тип рисунка: орнамент
Стиль жилья: классика
Мир жилья: гостиная, спальня
Страна производства: Россия
Упаковка: 6 рул. в коробк"
"Обои VICTORIA STENOVA 1.06х10,05м 989101",1 750.00 руб,"Виниловые обои на флизелиновой основе, 1,06*10,05 м"
Обои Палитра 1.06х10.05м PL71374-22,1 455.00 руб,"Рулонов в коробке    6
Элементы рисунка    Абстракция и геометрия
Способ производства    Горячее тиснение
Размер    1,06м x 10,05м
Раппорт    64
Основа    Флизелиновая"
"Обои Эдер 0,53х10,05м дуплекс Д672-05",222.00 руб,"Обои «дуплекс» С6 – обои, печатные офсетными красками на двухслойной склеенной бумаге с перламутровым покрытием и тиснением в рисунок. Обладают хорошей рельефностью, повышенной плотностью, превосходно скрывают неровности стен. Обои успешно конкурируют с виниловыми обоями по декоративным качествам, значительно «уступая» им по цене."
Обои WallDecor 1.06х10.05м 75071-28,1 195.00 руб,"Характеристики обоев
Коллекция:
WallDecor
Основа:
Бумажная
Тип:
Вспененный винил
Размер:
0,53 x 10,05
Раппорт:
0"
"Обои Сальса 0,53х10,05м дуплекс П328-05",235.00 руб,"Обои «дуплекс» С6 – обои, печатные офсетными красками на двухслойной склеенной бумаге с перламутровым покрытием и тиснением в рисунок. Обладают хорошей рельефностью, повышенной плотностью, превосходно скрывают неровности стен. Обои успешно конкурируют с виниловыми обоями по декоративным качествам, значительно «уступая» им по цене."
Обои Палитра 1.06х10.05м PL71251-41,1 345.00 руб,"Характеристики

Рулонов в коробке    6
Элементы рисунка    Флористика
Способ производства    Горячее тиснение
Размер    1,06м x 10,05м
Раппорт    64
Основа    Флизелиновая"
"Обои ERISMANN Arcano 1.06х10,05м 5259-02",1 799.00 руб,"Характеристики
Цветовая гамма:  Бежевый
Ширина рулона: 1,06м
Длина рулона: 10,05м
Раппорт: 5,5 см, прямая стыковка
Материал: флизелиновые обои
Тип обоев: горячее тиснение
Тип рисунка: графика
Стиль жилья: модерн
Мир жилья: гостиная, спальня
Страна производства: Германия
Упаковка: 6 рул. в коробке"
"Обои Elysium 1,06х10.05м 26203",1 560.00 руб,"Раппорт/смещение: 64/25
Горячее тиснение, 1,06 х 10м
E260XX, Е261ХХ, Е262ХХ ""Элли"". Артикул E26000"
Обои BelVinil 1.06х10.05м Оникс 0325-61,1 045.00 руб,"Акватекс.

Для защиты древесины от атмоферных воздействий, гниения, плесени, грибков, древесной синевы и ее декоративной отделки под ценные породы.
Образует прозрачную влагоотталкивающую полимерную пленку. Глубоко впитывается в поверхность древесины. Содержит УФ-фильтр для защиты дерева от солнечного излучения.
На алкидной основе.  

Расход:
строганная доска - 1л на 7-10кв м;
пиленная доска - 1л на 4-5кв м.

Время сушки: между нанесениями - 2 часа при 20град.С; окончательное - 24 часа при 20град С."
Обои Аспект 1.06х10.05м 70304-28,1 675.00 руб,"Бренд:Аспект
Дизайн:30201-30202
Способ производства: Вспененный винил
Основа: Флизелиновая
Цвета: Фиолетовый
Ширина:1.06
Длина:10.05
Раппорт:0"
"Обои VICTORIA STENOVA 1.06х10,05м 989091",1 900.00 руб,"Виниловые обои на флизелиновой основе, 1,06*10,05 м"
Обои A.S. Creation 1.06х10.05м 38040-3,2 340.00 руб,"Характеристики обоев
Коллекция:
АСПЕКТ
Основа:
Флизелиновая
Тип:
Горячее тиснение
Размер:
1,06 x 10,05
Раппорт:
16"
Обои Палитра 1.06х10.05м PL71374-22,1 455.00 руб,"Рулонов в коробке    6
Элементы рисунка    Абстракция и геометрия
Способ производства    Горячее тиснение
Размер    1,06м x 10,05м
Раппорт    64
Основа    Флизелиновая"
"Обои Эдер 0,53х10,05м дуплекс Д672-05",222.00 руб,"Обои «дуплекс» С6 – обои, печатные офсетными красками на двухслойной склеенной бумаге с перламутровым покрытием и тиснением в рисунок. Обладают хорошей рельефностью, повышенной плотностью, превосходно скрывают неровности стен. Обои успешно конкурируют с виниловыми обоями по декоративным качествам, значительно «уступая» им по цене."
"Обои ERISMANN Profi Deco 1.06х10,05м 60133-05",1 385.00 руб,"Ширина рулона: 1,06м
Длина рулона: 10,05м
Раппорт: свободная стыковка
Материал: флизелиновые обои
Тип обоев: горячее тиснение
Тип рисунка: однотонный
Стиль жилья: фон
Мир жилья: гостиная, спальня
Страна производства: Россия
Упаковка: 6 рул. в коробке
Обои компаньоны"
Обои Палитра 1.06х10.05м PL71250-41,1 440.00 руб,"Характеристики

Рулонов в коробке    6
Элементы рисунка    Флористика
Способ производства    Горячее тиснение
Размер    1,06м x 10,05м
Раппорт    64
Основа    Флизелиновая"
"Обои ERISMANN Profi Deco 1.06х10,05м 60169-04",1 635.00 руб,"Ширина рулона: 1,06м
Длина рулона: 10,05м
Раппорт: 4.9 см, прямая стыковка
Материал: флизелиновые обои
Тип обоев: горячее тиснение
Тип рисунка: орнамент
Стиль жилья: классика
Мир жилья: гостиная, спальня, коридор
Страна производства: Россия
Упаковка: 6 рул. в коробке"
Обои Anturage 1.06х10.05м 168430-16,1 360.00 руб,"Характеристики

Рулонов в коробке    6
Элементы рисунка    Абстракция и геометрия
Способ производства    Горячее тиснение
Размер    1,06м x 10,05м
Раппорт    64
Основа    Флизелиновая"
Обои Антураж 168308-04,1 570.00 руб,"Обои «дуплекс» С6 – обои, печатные офсетными красками на двухслойной склеенной бумаге с перламутровым покрытием и тиснением в рисунок. Обладают хорошей рельефностью, повышенной плотностью, превосходно скрывают неровности стен. Обои успешно конкурируют с виниловыми обоями по декоративным качествам, значительно «уступая» им по цене."
Обои P&P 1.06х10.05м 71591-24,1 890.00 руб,"Характеристики

Рулонов в коробке    6
Элементы рисунка    Абстракция и геометрия
Способ производства    Горячее тиснение
Размер    1,06м x 10,05м
Раппорт    64
Основа    Флизелиновая"
"Обои ERISMANN 0,53х10,05м 6703-13",1 200.00 руб,"Цветовая гамма:  Бежевый
Ширина рулона: 1,06м
Длина рулона: 10,05м
Раппорт: 64 см, прямая стыковка
Материал: флизелиновые обои
Тип обоев: горячее тиснение
Тип рисунка: цветы
Стиль жилья: природа
Мир жилья: гостиная, спальня
Страна производства: Германия
Упаковка: 6 рул. в коробке"
Обои Антураж 168307-13,1 710.00 руб,"Обои «дуплекс» С6 – обои, печатные офсетными красками на двухслойной склеенной бумаге с перламутровым покрытием и тиснением в рисунок. Обладают хорошей рельефностью, повышенной плотностью, превосходно скрывают неровности стен. Обои успешно конкурируют с виниловыми обоями по декоративным качествам, значительно «уступая» им по цене."
"Обои ERISMANN Profi Deco 1.06х10,05м 6177-6",1 525.00 руб,"Ширина рулона: 1,06м
Длина рулона: 10,05м
Раппорт: 64 см, прямая стыковка
Материал: флизелиновые обои
Тип обоев: горячее тиснение
Тип рисунка: цветы
Стиль жилья: классика
Мир жилья: гостиная, спальня
Страна производства: Россия
Упаковка: 6 рул. в коробке"
Обои VOG Collection 1.06х10.05м 50007-55,1 060.00 руб,"Бренд:VOG Collection
Дизайн:50007-50008
Способ производства: Вспененный винил
Основа: Флизелиновая
Цвета: Розовый
Ширина:1.06
Длина:10.05
Раппорт:0"
"Обои Эдер 0,53х10,05м дуплекс Д672-06",222.00 руб,"Обои «дуплекс» С6 – обои, печатные офсетными красками на двухслойной склеенной бумаге с перламутровым покрытием и тиснением в рисунок. Обладают хорошей рельефностью, повышенной плотностью, превосходно скрывают неровности стен. Обои успешно конкурируют с виниловыми обоями по декоративным качествам, значительно «уступая» им по цене."
Обои Антураж 168307-13,1 710.00 руб,"Обои «дуплекс» С6 – обои, печатные офсетными красками на двухслойной склеенной бумаге с перламутровым покрытием и тиснением в рисунок. Обладают хорошей рельефностью, повышенной плотностью, превосходно скрывают неровности стен. Обои успешно конкурируют с виниловыми обоями по декоративным качествам, значительно «уступая» им по цене."
"Обои ERISMANN Profi Deco 1.06х10,05м 6177-6",1 525.00 руб,"Ширина рулона: 1,06м
Длина рулона: 10,05м
Раппорт: 64 см, прямая стыковка
Материал: флизелиновые обои
Тип обоев: горячее тиснение
Тип рисунка: цветы
Стиль жилья: классика
Мир жилья: гостиная, спальня
Страна производства: Россия
Упаковка: 6 рул. в коробке"
Обои VOG Collection 1.06х10.05м 50007-55,1 060.00 руб,"Бренд:VOG Collection
Дизайн:50007-50008
Способ производства: Вспененный винил
Основа: Флизелиновая
Цвета: Розовый
Ширина:1.06
Длина:10.05
Раппорт:0"
Обои AS Палитра 1.06х10.05м 30175-14,885.00 руб,"Коллекция:30174-30175
Дизайн:30175
Артикул:30175-14
Ширина:1.06
Длина:10.05
Цвет:Универсальный
Способ производства:Вспененный винил
Бренд:А.С. и Палитра
Основа:Флизелиновая"
"Обои ERISMANN Profi Deco 1.06х10,05м 60032-05",1 385.00 руб,"Ширина рулона: 1,06м
Длина рулона: 10,05м
Раппорт: 4.9 см, прямая стыковка
Материал: флизелиновые обои
Тип обоев: горячее тиснение
Тип рисунка: орнамент
Стиль жилья: классика
Мир жилья: гостиная, спальня, коридор
Страна производства: Россия
Упаковка: 6 рул. в коробке"
Обои Палитра 0.53х10.05м PL51004-77,455.00 руб,"Рулонов в коробке    16
Элементы рисунка    Деревья
Способ производства    Вспененный винил
Размер    0,53м x 10,05м
Раппорт    64
Основа    Флизелиновая"
Обои HomeColor 1.06х10.05м НС71285-48,1 300.00 руб,"Характеристики

Рулонов в коробке    8
Способ производства    Горячее тиснение
Размер    1,06м x 10,05м
Раппорт    0
Основа    Флизелиновая"
"Обои Elysium 1,06х10.05м 78201",1 730.00 руб,"Раппорт/смещение: 64/0
Горячее тиснение, 1,06 х 10м
E782ХХ, Е783ХХ ""Эбру"" НОВИНКА. Артикул E78205"
Обои BelVinil 1.06х10.05м Оникс 0325-21,980.00 руб,"Для укрепления пористых и сильно впитывающих минеральных поверхностей на глубину до 5 мм. Рекомендуется для предварительной обработки оснований перед  окраской, шпатлеванием, приклеиванием обоев.

обладает высокой проникающей поверхностью;

улучшает адгезию;

укрепляет осыпающиеся и мелящиеся старые штукатурку, краску, картон и др. пористые поверхности;

после высыхания образует ровную матовую полупрозрачную поверхность;

снижает расход краски;

последующее нанесение краски производится только после полного высыхания грунтовки.

Расход

80-120 г/м2

Подготовка поверхности

Поверхность должна быть сухой, очищенной от загрязнений и старых отслаивающихся покрытий.

Способ нанесения

Наносится кистью кистью, валиком или краскопультом в один слой.. Сильно впитывающие поверхности рекомендуется грунтовать 2 раза.

Время высыхания

До отлипа – 1 час, полное высыхание через 3 часа при нормальных условиях.

Сухой остаток

Не менее 9%.

Хранение

В плотно закрытой таре при температуре от 0°С до +40°С. Допускается замораживание до -15°С, но не более 5 циклов замораживания-оттаивания. Срок годности 12 месяцев с даты изготовления.

Не рекомендуется

Наносить при повышенной влажности и температуре ниже +7°С.

Плотность

1,0 г/см?

ТУ



Фасовка

5л 10л"
"Обои ERISMANN 1.06х10,05м 5127-39",1 500.00 руб,"Цветовая гамма:  Бежевый
Ширина рулона: 1,06м
Длина рулона: 10,05м
Раппорт: 64 см, прямая стыковка
Материал: флизелиновые обои
Тип обоев: горячее тиснение
Тип рисунка: цветы
Стиль жилья: природа
Мир жилья: гостиная, спальня
Страна производства: Германия
Упаковка: 6 рул. в коробке"
"Обои Нарва 0,53х10,05м дуплекс Д542-01",222.00 руб,"Обои «дуплекс» С6 – обои, печатные офсетными красками на двухслойной склеенной бумаге с перламутровым покрытием и тиснением в рисунок. Обладают хорошей рельефностью, повышенной плотностью, превосходно скрывают неровности стен. Обои успешно конкурируют с виниловыми обоями по декоративным качествам, значительно «уступая» им по цене."
"Обои VICTORIA STENOVA 1.06х10,05м 989108",1 750.00 руб,"Виниловые обои на флизелиновой основе, 1,06*10,05 м"
Обои BelVinil 1.06х10.05м Магнолия 11-1011-21,1 280.00 руб,"Для укрепления пористых и сильно впитывающих минеральных поверхностей на глубину до 5 мм. Рекомендуется для предварительной обработки оснований перед  окраской, шпатлеванием, приклеиванием обоев.

обладает высокой проникающей поверхностью;

улучшает адгезию;

укрепляет осыпающиеся и мелящиеся старые штукатурку, краску, картон и др. пористые поверхности;

после высыхания образует ровную матовую полупрозрачную поверхность;

снижает расход краски;

последующее нанесение краски производится только после полного высыхания грунтовки.

Расход

80-120 г/м2

Подготовка поверхности

Поверхность должна быть сухой, очищенной от загрязнений и старых отслаивающихся покрытий.

Способ нанесения

Наносится кистью кистью, валиком или краскопультом в один слой.. Сильно впитывающие поверхности рекомендуется грунтовать 2 раза.

Время высыхания

До отлипа – 1 час, полное высыхание через 3 часа при нормальных условиях.

Сухой остаток

Не менее 9%.

Хранение

В плотно закрытой таре при температуре от 0°С до +40°С. Допускается замораживание до -15°С, но не более 5 циклов замораживания-оттаивания. Срок годности 12 месяцев с даты изготовления.

Не рекомендуется

Наносить при повышенной влажности и температуре ниже +7°С.

Плотность

1,0 г/см?

ТУ



Фасовка

5л 10л"
Обои Anturage 1.06х10.05м 168407-02,1 515.00 руб,"Характеристики

Рулонов в коробке    6
Элементы рисунка    Абстракция и геометрия
Способ производства    Горячее тиснение
Размер    1,06м x 10,05м
Раппорт    64
Основа    Флизелиновая"
Обои WallDecor 1.06х10.05м 75102-65,1 700.00 руб,"Характеристики обоев
Коллекция:
WallDecor
Основа:
Бумажная
Тип:
Вспененный винил
Размер:
0,53 x 10,05
Раппорт:
0"
Обои Антураж 168308-04,1 570.00 руб,"Обои «дуплекс» С6 – обои, печатные офсетными красками на двухслойной склеенной бумаге с перламутровым покрытием и тиснением в рисунок. Обладают хорошей рельефностью, повышенной плотностью, превосходно скрывают неровности стен. Обои успешно конкурируют с виниловыми обоями по декоративным качествам, значительно «уступая» им по цене."
"Обои VICTORIA STENOVA 1.06х10,05м 989248",1 690.00 руб,"Виниловые обои на флизелиновой основе, 1,06*10,05 м"
"Обои VICTORIA STENOVA 1.06х10,05м 989238",1 660.00 руб,"Виниловые обои на флизелиновой основе, 1,06*10,05 м"
Обои A.S. Creation 1.06х10.05м 38048-5,2 030.00 руб,"Характеристики обоев
Коллекция:
АСПЕКТ
Основа:
Флизелиновая
Тип:
Горячее тиснение
Размер:
1,06 x 10,05
Раппорт:
16"
Обои BelVinil 1.06х10.05м Оникс 0325-21,980.00 руб,"Для укрепления пористых и сильно впитывающих минеральных поверхностей на глубину до 5 мм. Рекомендуется для предварительной обработки оснований перед  окраской, шпатлеванием, приклеиванием обоев.

обладает высокой проникающей поверхностью;

улучшает адгезию;

укрепляет осыпающиеся и мелящиеся старые штукатурку, краску, картон и др. пористые поверхности;

после высыхания образует ровную матовую полупрозрачную поверхность;

снижает расход краски;

последующее нанесение краски производится только после полного высыхания грунтовки.

Расход

80-120 г/м2

Подготовка поверхности

Поверхность должна быть сухой, очищенной от загрязнений и старых отслаивающихся покрытий.

Способ нанесения

Наносится кистью кистью, валиком или краскопультом в один слой.. Сильно впитывающие поверхности рекомендуется грунтовать 2 раза.

Время высыхания

До отлипа – 1 час, полное высыхание через 3 часа при нормальных условиях.

Сухой остаток

Не менее 9%.

Хранение

В плотно закрытой таре при температуре от 0°С до +40°С. Допускается замораживание до -15°С, но не более 5 циклов замораживания-оттаивания. Срок годности 12 месяцев с даты изготовления.

Не рекомендуется

Наносить при повышенной влажности и температуре ниже +7°С.

Плотность

1,0 г/см?

ТУ



Фасовка

5л 10л"
"Обои Аллюр 0,53х10,05м дуплекс Д520-06",240.00 руб,"Обои «дуплекс» С6 – обои, печатные офсетными красками на двухслойной склеенной бумаге с перламутровым покрытием и тиснением в рисунок. Обладают хорошей рельефностью, повышенной плотностью, превосходно скрывают неровности стен. Обои успешно конкурируют с виниловыми обоями по декоративным качествам, значительно «уступая» им по цене."
Обои Elysium 0.53х10.05м 60032,535.00 руб,"Характеристики

Рулонов в коробке    16
Элементы рисунка    Абстракция и геометрия
Способ производства    Вспененный винил
Размер    0,53м x 10,05м
Раппорт    32
Основа    Флизелиновая"
Обои VILIA 1.06х10.05м 1218-61,835.00 руб,"Характеристики

Рулонов в коробке    6
Элементы рисунка    Абстракция и геометрия
Способ производства    Горячее тиснение
Размер    1,06м x 10,05м
Раппорт    64
Основа    Флизелиновая"
Обои AS Палитра 1.06х10.05м 33006-44,730.00 руб,"Характеристики обоев
Коллекция:
А. С. И Палитра
Основа:
Флизелиновая
Тип:
Вспененный винил
Размер:
1,06 x 10,05
Раппорт:
0"
Обои VILIA 1.06х10.05м 1218-61,835.00 руб,"Характеристики

Рулонов в коробке    6
Элементы рисунка    Абстракция и геометрия
Способ производства    Горячее тиснение
Размер    1,06м x 10,05м
Раппорт    64
Основа    Флизелиновая"
Обои HomeColor 1.06х10.05м 719-47,1 155.00 руб,"Характеристики

Рулонов в коробке    8
Элементы рисунка    Деревья
Способ производства    Горячее тиснение
Размер    1,06м x 10,05м
Раппорт    64
Основа    Флизелиновая"
Обои AS Палитра 0.53х10.05м 10076-17,400.00 руб,"Характеристики обоев
Коллекция:
А. С. И Палитра
Основа:
Бумажная
Тип:
Вспененный винил
Размер:
0,53 x 10,05
Раппорт:
32"
"Обои Rasch виниловые 1,06х10,05м 935738",1 642.00 руб,"Длина рулона:    10,05 м
Тип обоев:    Виниловые на флизелине
Размер рулона:    1,06 м
Производитель:    Rasch
Страна производства:    Германия"
"Обои Rasch бумажные 0,53х10,05м 295900",352.00 руб,"Длина рулона:    10,05 м
Тип обоев:    Бумажные обои
Размер рулона:    0,53 м
Производитель:    Rasch
Страна производства:    Германия"
"Обои ERISMANN Waves 1.06х10,05м 9400-38",1 990.00 руб,"Цветовая гамма:  Белый     Бежевый     Серый
Ширина рулона: 1,06м
Длина рулона: 10,05м
Раппорт: 32 см, прямая стыковка
Материал: флизелиновые обои
Тип обоев: горячее тиснение
Тип рисунка: тематический
Стиль жилья: модерн
Мир жилья: гостиная, спальня, коридор
Страна производства: Германия
Упаковка: 6 рул. в коробке"
"Обои VICTORIA STENOVA 1.06х10,05м 989262",1 850.00 руб,"Виниловые обои на флизелиновой основе, 1,06*10,05 м"
"Обои VICTORIA STENOVA 1.06х10,05м 989248",1 690.00 руб,"Виниловые обои на флизелиновой основе, 1,06*10,05 м"
"Обои VICTORIA STENOVA 1.06х10,05м 989238",1 660.00 руб,"Виниловые обои на флизелиновой основе, 1,06*10,05 м"
Обои A.S. Creation 1.06х10.05м 38048-5,2 030.00 руб,"Характеристики обоев
Коллекция:
АСПЕКТ
Основа:
Флизелиновая
Тип:
Горячее тиснение
Размер:
1,06 x 10,05
Раппорт:
16"
"Обои Elysium 1,06х10.05м 41538",1 620.00 руб,"Горячее тиснение, 1,06 х 10м
E380ХХ, Е381ХХ ""Луиза"" НОВИНКА Артикул E38004"
"Обои ERISMANN Profi Deco 1.06х10,05м 6149-5",1 570.00 руб,"Ширина рулона: 1,06м
Длина рулона: 10,05м
Раппорт: свободная стыковка
Материал: флизелиновые обои
Тип обоев: горячее тиснение
Тип рисунка: однотонный
Стиль жилья: фон
Мир жилья: гостиная, спальня
Страна производства: Россия
Упаковка: 6 рул. в коробке
Обои компаньоны"
Обои HomeColor 1.06х10.05м НС71243-66,1 160.00 руб,"Рулонов в коробке    8
Элементы рисунка    Вензели
Способ производства    Горячее тиснение
Размер    1,06м x 10,05м
Раппорт    64
Основа    Флизелиновая"
Обои HomeColor 1.06х10.05м НС71243-28,1 160.00 руб,"Рулонов в коробке    8
Элементы рисунка    Вензели
Способ производства    Горячее тиснение
Размер    1,06м x 10,05м
Раппорт    64
Основа    Флизелиновая"
Обои HomeColor 1.06х10.05м 719-47,1 155.00 руб,"Характеристики

Рулонов в коробке    8
Элементы рисунка    Деревья
Способ производства    Горячее тиснение
Размер    1,06м x 10,05м
Раппорт    64
Основа    Флизелиновая"
Обои Алмаз 0.53х10.05м 5507-04,470.00 руб,"Характеристики

Рулонов в коробке    16
Элементы рисунка    Абстракция и геометрия
Способ производства    Вспененный винил
Размер    0,53м x 10,05м
Раппорт    32
Основа    Флизелиновая"
